,LocationDesc,Question,Data_Value,StratificationCategory1,Stratification1
2766,Maryland,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,27.0,Age (years),55 - 64
2767,Utah,Percent of adults who engage in no leisure-time physical activity,11.7,Income,"$75,000 or greater"
2768,Oklahoma,Percent of adults who report consuming vegetables less than one time daily,21.5,Total,Total
2769,Hawaii,Percent of adults who report consuming vegetables less than one time daily,16.3,Income,"$75,000 or greater"
2770,Delaware,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),49.8,Race/Ethnicity,American Indian/Alaska Native
2771,Georgia,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),44.7,Education,High school graduate
2772,South Carolina,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),31.1,Race/Ethnicity,Asian
2773,Louisiana,Percent of adults who report consuming vegetables less than one time daily,21.4,Race/Ethnicity,Other
2774,Illinois,Percent of adults who engage in no leisure-time physical activity,24.8,Total,Total
2775,New Mexico,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),35.0,Race/Ethnicity,Non-Hispanic Black
2776,Rhode Island,Percent of adults aged 18 years and older who have obesity,25.7,Total,Total
2777,Missouri,Percent of adults aged 18 years and older who have an overweight classification,36.5,Education,High school graduate
2778,Utah,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),30.5,Income,"$50,000 - $74,999"
2779,Montana,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,22.1,Income,"Less than $15,000"
2780,Wyoming,Percent of adults aged 18 years and older who have an overweight classification,36.4,Education,Some college or technical school
2781,Georgia,Percent of adults aged 18 years and older who have obesity,36.0,Age (years),55 - 64
2782,Wisconsin,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,19.1,Age (years),65 or older
2783,New Hampshire,Percent of adults aged 18 years and older who have an overweight classification,35.4,Race/Ethnicity,Other
2784,Montana,Percent of adults who engage in no leisure-time physical activity,15.4,Age (years),25 - 34
2785,South Dakota,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,30.9,Race/Ethnicity,Asian
2786,Arkansas,Percent of adults aged 18 years and older who have an overweight classification,34.5,Race/Ethnicity,Hawaiian/Pacific Islander
2787,California,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),55.9,Education,High school graduate
2788,Louisiana,Percent of adults aged 18 years and older who have obesity,32.0,Income,"$25,000 - $34,999"
2789,Oklahoma,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,18.6,Income,"$15,000 - $24,999"
2790,Texas,Percent of adults aged 18 years and older who have obesity,35.4,Age (years),55 - 64
2791,Oregon,Percent of adults who engage in no leisure-time physical activity,18.6,Race/Ethnicity,American Indian/Alaska Native
2792,Louisiana,Percent of adults aged 18 years and older who have obesity,36.2,Total,Total
2793,Nevada,Percent of adults aged 18 years and older who have an overweight classification,38.9,Age (years),25 - 34
2794,Michigan,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),33.4,Total,Total
2795,South Carolina,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),33.9,Gender,Male
2796,Maryland,Percent of adults who engage in no leisure-time physical activity,24.8,Race/Ethnicity,American Indian/Alaska Native
2797,Nevada,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,19.9,Race/Ethnicity,Hispanic
2798,Hawaii,Percent of adults aged 18 years and older who have obesity,38.7,Race/Ethnicity,2 or more races
2799,Alaska,Percent of adults aged 18 years and older who have obesity,31.4,Total,Total
2800,South Dakota,Percent of adults aged 18 years and older who have an overweight classification,38.3,Income,"$25,000 - $34,999"
2801,Utah,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,29.4,Age (years),45 - 54
2802,Tennessee,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,16.0,Income,Data not reported
2803,Hawaii,Percent of adults who engage in no leisure-time physical activity,22.7,Age (years),55 - 64
2804,Massachusetts,Percent of adults aged 18 years and older who have obesity,26.9,Income,"$50,000 - $74,999"
2805,Arkansas,Percent of adults aged 18 years and older who have obesity,33.9,Race/Ethnicity,2 or more races
2806,Maryland,Percent of adults aged 18 years and older who have obesity,15.4,Age (years),18 - 24
2807,Texas,Percent of adults aged 18 years and older who have obesity,37.9,Age (years),35 - 44
2808,New Mexico,Percent of adults aged 18 years and older who have obesity,29.6,Income,"$35,000 - $49,999"
2809,Mississippi,Percent of adults who engage in no leisure-time physical activity,25.6,Race/Ethnicity,Other
2810,National,Percent of adults who engage in no leisure-time physical activity,29.9,Education,High school graduate
2811,Idaho,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),39.3,Gender,Female
2812,South Dakota,Percent of adults who engage in no leisure-time physical activity,21.8,Income,"$50,000 - $74,999"
2813,Vermont,Percent of adults aged 18 years and older who have an overweight classification,42.1,Age (years),55 - 64
2814,South Carolina,Percent of adults aged 18 years and older who have obesity,35.8,Income,"$15,000 - $24,999"
2815,Georgia,Percent of adults who engage in no leisure-time physical activity,14.0,Income,"$75,000 or greater"
2816,Wisconsin,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,34.6,Race/Ethnicity,American Indian/Alaska Native
2817,Montana,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,20.2,Race/Ethnicity,Hawaiian/Pacific Islander
2818,Wyoming,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,37.3,Income,"$15,000 - $24,999"
2819,Massachusetts,Percent of adults aged 18 years and older who have obesity,24.4,Age (years),35 - 44
2820,Ohio,Percent of adults who engage in no leisure-time physical activity,21.7,Age (years),35 - 44
2821,Alabama,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),27.3,Education,College graduate
2822,Virginia,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),56.4,Race/Ethnicity,Asian
2823,Georgia,Percent of adults aged 18 years and older who have obesity,29.0,Age (years),25 - 34
2824,Maryland,Percent of adults who report consuming fruit less than one time daily,26.8,Race/Ethnicity,American Indian/Alaska Native
2825,Utah,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),37.5,Income,"$75,000 or greater"
2826,California,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,19.8,Education,Less than high school
2827,Wisconsin,Percent of adults aged 18 years and older who have obesity,33.1,Income,"$35,000 - $49,999"
2828,Puerto Rico,Percent of adults aged 18 years and older who have an overweight classification,39.9,Age (years),55 - 64
2829,Pennsylvania,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,19.7,Race/Ethnicity,Non-Hispanic White
2830,Alaska,Percent of adults who engage in no leisure-time physical activity,29.5,Race/Ethnicity,Asian
2831,Ohio,Percent of adults aged 18 years and older who have obesity,39.7,Education,High school graduate
2832,Florida,Percent of adults who engage in no leisure-time physical activity,29.6,Race/Ethnicity,Asian
2833,Pennsylvania,Percent of adults aged 18 years and older who have an overweight classification,37.8,Education,College graduate
2834,Nebraska,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),50.8,Race/Ethnicity,Non-Hispanic White
2835,Iowa,Percent of adults aged 18 years and older who have an overweight classification,39.0,Gender,Male
2836,Colorado,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),62.5,Age (years),55 - 64
2837,Missouri,Percent of adults aged 18 years and older who have an overweight classification,27.4,Income,"Less than $15,000"
2838,Vermont,Percent of adults who report consuming fruit less than one time daily,22.4,Education,College graduate
2839,Maryland,Percent of adults aged 18 years and older who have obesity,26.2,Race/Ethnicity,Other
2840,Michigan,Percent of adults who report consuming vegetables less than one time daily,17.4,Income,Data not reported
2841,Nebraska,Percent of adults aged 18 years and older who have an overweight classification,37.0,Race/Ethnicity,Non-Hispanic White
2842,Delaware,Percent of adults aged 18 years and older who have obesity,38.8,Income,"$75,000 or greater"
2843,Illinois,Percent of adults who engage in no leisure-time physical activity,18.0,Age (years),25 - 34
2844,Kentucky,Percent of adults aged 18 years and older who have obesity,25.8,Race/Ethnicity,Hispanic
2845,Hawaii,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,18.6,Income,"$15,000 - $24,999"
2846,California,Percent of adults who engage in no leisure-time physical activity,16.4,Race/Ethnicity,Asian
2847,Rhode Island,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,17.0,Race/Ethnicity,Hispanic
2848,Missouri,Percent of adults who report consuming vegetables less than one time daily,17.8,Gender,Male
2849,Wyoming,Percent of adults aged 18 years and older who have an overweight classification,26.5,Race/Ethnicity,Hispanic
2850,Kentucky,Percent of adults aged 18 years and older who have an overweight classification,34.3,Race/Ethnicity,Other
2851,Missouri,Percent of adults aged 18 years and older who have an overweight classification,33.4,Education,High school graduate
2852,Texas,Percent of adults who engage in no leisure-time physical activity,32.8,Income,"$25,000 - $34,999"
2853,Indiana,Percent of adults aged 18 years and older who have obesity,24.5,Race/Ethnicity,Other
2854,California,Percent of adults aged 18 years and older who have an overweight classification,29.5,Gender,Female
2855,Tennessee,Percent of adults aged 18 years and older who have an overweight classification,39.0,Gender,Male
2856,Missouri,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),42.5,Gender,Female
2857,New York,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,23.0,Age (years),45 - 54
2858,North Dakota,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),26.1,Income,"$50,000 - $74,999"
2859,Illinois,Percent of adults who engage in no leisure-time physical activity,23.4,Gender,Female
2860,Arkansas,Percent of adults aged 18 years and older who have an overweight classification,31.6,Education,Less than high school
2861,Idaho,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),54.7,Race/Ethnicity,Non-Hispanic White
2862,South Carolina,Percent of adults aged 18 years and older who have obesity,37.7,Education,Some college or technical school
2863,Connecticut,Percent of adults who engage in no leisure-time physical activity,25.6,Race/Ethnicity,American Indian/Alaska Native
2864,Washington,Percent of adults aged 18 years and older who have an overweight classification,34.1,Income,"$15,000 - $24,999"
2865,Pennsylvania,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,14.6,Race/Ethnicity,2 or more races
2866,Nebraska,Percent of adults aged 18 years and older who have obesity,27.2,Race/Ethnicity,2 or more races
2867,New Mexico,Percent of adults who engage in no leisure-time physical activity,23.2,Age (years),55 - 64
2868,Hawaii,Percent of adults aged 18 years and older who have obesity,17.2,Race/Ethnicity,Non-Hispanic White
2869,New York,Percent of adults aged 18 years and older who have obesity,31.0,Race/Ethnicity,Hawaiian/Pacific Islander
2870,Washington,Percent of adults who report consuming fruit less than one time daily,53.6,Race/Ethnicity,Hawaiian/Pacific Islander
2871,Mississippi,Percent of adults aged 18 years and older who have obesity,35.5,Total,Total
2872,Wyoming,Percent of adults aged 18 years and older who have obesity,30.1,Income,"$35,000 - $49,999"
2873,Maryland,Percent of adults who engage in no leisure-time physical activity,24.7,Race/Ethnicity,Hispanic
2874,Maryland,Percent of adults aged 18 years and older who have obesity,31.3,Age (years),25 - 34
2875,New Jersey,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,20.2,Race/Ethnicity,Hawaiian/Pacific Islander
2876,Connecticut,Percent of adults aged 18 years and older who have an overweight classification,47.6,Race/Ethnicity,Other
2877,Guam,Percent of adults aged 18 years and older who have obesity,34.7,Income,"$50,000 - $74,999"
2878,Arkansas,Percent of adults aged 18 years and older who have an overweight classification,35.1,Age (years),55 - 64
2879,Montana,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),41.8,Gender,Male
2880,Kansas,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,19.3,Education,High school graduate
2881,Texas,Percent of adults aged 18 years and older who have an overweight classification,35.9,Race/Ethnicity,Non-Hispanic White
2882,Washington,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),48.7,Race/Ethnicity,Non-Hispanic Black
2883,Idaho,Percent of adults who engage in no leisure-time physical activity,28.4,Age (years),65 or older
2884,Alabama,Percent of adults who report consuming fruit less than one time daily,48.2,Age (years),45 - 54
2885,District of Columbia,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),39.5,Age (years),45 - 54
2886,Colorado,Percent of adults aged 18 years and older who have obesity,22.4,Age (years),65 or older
2887,Tennessee,Percent of adults aged 18 years and older who have obesity,34.4,Total,Total
2888,Oregon,Percent of adults aged 18 years and older who have an overweight classification,35.3,Race/Ethnicity,Non-Hispanic White
2889,South Carolina,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),26.0,Race/Ethnicity,Non-Hispanic Black
2890,Maine,Percent of adults aged 18 years and older who have obesity,27.8,Income,"$35,000 - $49,999"
2891,Montana,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,16.5,Education,High school graduate
2892,Indiana,Percent of adults aged 18 years and older who have an overweight classification,34.5,Race/Ethnicity,Other
2893,Washington,Percent of adults aged 18 years and older who have obesity,25.8,Income,"$25,000 - $34,999"
2894,Delaware,Percent of adults who report consuming fruit less than one time daily,39.7,Race/Ethnicity,American Indian/Alaska Native
2895,Tennessee,Percent of adults who report consuming fruit less than one time daily,50.7,Education,High school graduate
2896,Virginia,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,31.9,Income,"$35,000 - $49,999"
2897,Minnesota,Percent of adults aged 18 years and older who have an overweight classification,41.9,Age (years),65 or older
2898,South Dakota,Percent of adults who engage in no leisure-time physical activity,28.2,Education,High school graduate
2899,Wyoming,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),33.6,Age (years),25 - 34
2900,Oklahoma,Percent of adults aged 18 years and older who have obesity,40.7,Income,"$75,000 or greater"
2901,Iowa,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),49.8,Race/Ethnicity,Other
2902,North Carolina,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,29.7,Education,Some college or technical school
2903,Arizona,Percent of adults aged 18 years and older who have obesity,14.2,Race/Ethnicity,Asian
2904,Ohio,Percent of adults who engage in no leisure-time physical activity,26.4,Race/Ethnicity,Hispanic
2905,Illinois,Percent of adults who report consuming fruit less than one time daily,28.4,Age (years),65 or older
2906,New York,Percent of adults aged 18 years and older who have an overweight classification,33.0,Income,"$15,000 - $24,999"
2907,Vermont,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),39.4,Age (years),45 - 54
2908,New Mexico,Percent of adults aged 18 years and older who have an overweight classification,37.5,Income,"$50,000 - $74,999"
2909,Florida,Percent of adults aged 18 years and older who have obesity,24.3,Education,Some college or technical school
2910,Vermont,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),31.1,Race/Ethnicity,Hawaiian/Pacific Islander
2911,Louisiana,Percent of adults aged 18 years and older who have an overweight classification,38.3,Education,College graduate
2912,Missouri,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,17.9,Age (years),45 - 54
2913,Oklahoma,Percent of adults aged 18 years and older who have obesity,31.0,Race/Ethnicity,Other
2914,Georgia,Percent of adults aged 18 years and older who have obesity,42.9,Age (years),45 - 54
2915,New Mexico,Percent of adults aged 18 years and older who have an overweight classification,36.8,Age (years),35 - 44
2916,West Virginia,Percent of adults aged 18 years and older who have an overweight classification,29.0,Race/Ethnicity,Non-Hispanic Black
2917,Oklahoma,Percent of adults aged 18 years and older who have obesity,38.5,Income,"$50,000 - $74,999"
2918,Utah,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),31.5,Income,"$25,000 - $34,999"
2919,Minnesota,Percent of adults aged 18 years and older who have an overweight classification,34.5,Race/Ethnicity,Other
2920,Illinois,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),30.3,Total,Total
2921,Arizona,Percent of adults aged 18 years and older who have obesity,31.0,Race/Ethnicity,Hawaiian/Pacific Islander
2922,Utah,Percent of adults who engage in no leisure-time physical activity,22.7,Age (years),55 - 64
2923,Washington,Percent of adults who engage in no leisure-time physical activity,10.7,Education,College graduate
2924,Oklahoma,Percent of adults aged 18 years and older who have obesity,26.9,Age (years),65 or older
2925,South Dakota,Percent of adults who report consuming fruit less than one time daily,41.0,Income,"Less than $15,000"
2926,Rhode Island,Percent of adults aged 18 years and older who have an overweight classification,32.4,Race/Ethnicity,Non-Hispanic Black
2927,Maryland,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),49.2,Race/Ethnicity,Asian
2928,New Mexico,Percent of adults aged 18 years and older who have obesity,25.0,Race/Ethnicity,2 or more races
2929,South Dakota,Percent of adults who report consuming vegetables less than one time daily,19.4,Income,"$15,000 - $24,999"
2930,California,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,20.6,Age (years),45 - 54
2931,Georgia,Percent of adults aged 18 years and older who have an overweight classification,38.1,Education,College graduate
2932,Minnesota,Percent of adults who report consuming vegetables less than one time daily,17.1,Age (years),45 - 54
2933,Massachusetts,Percent of adults aged 18 years and older who have an overweight classification,31.5,Income,"Less than $15,000"
2934,Colorado,Percent of adults aged 18 years and older who have obesity,21.2,Income,"$35,000 - $49,999"
2935,Delaware,Percent of adults aged 18 years and older who have obesity,31.4,Age (years),35 - 44
2936,Massachusetts,Percent of adults aged 18 years and older who have obesity,35.1,Race/Ethnicity,Non-Hispanic Black
2937,Utah,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),48.2,Income,"$25,000 - $34,999"
2938,Nevada,Percent of adults aged 18 years and older who have an overweight classification,39.9,Race/Ethnicity,Hispanic
2939,National,Percent of adults aged 18 years and older who have an overweight classification,36.8,Race/Ethnicity,Hispanic
2940,South Carolina,Percent of adults who engage in no leisure-time physical activity,25.6,Race/Ethnicity,Asian
2941,Tennessee,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,36.5,Education,College graduate
2942,South Carolina,Percent of adults who engage in no leisure-time physical activity,27.2,Total,Total
2943,Kentucky,Percent of adults who report consuming vegetables less than one time daily,19.8,Total,Total
2944,Mississippi,Percent of adults who engage in no leisure-time physical activity,47.4,Income,"Less than $15,000"
2945,Delaware,Percent of adults who engage in no leisure-time physical activity,19.5,Income,Data not reported
2946,Iowa,Percent of adults aged 18 years and older who have an overweight classification,32.9,Income,"$35,000 - $49,999"
2947,Arizona,Percent of adults aged 18 years and older who have an overweight classification,35.2,Race/Ethnicity,Non-Hispanic White
2948,Oregon,Percent of adults aged 18 years and older who have an overweight classification,35.0,Race/Ethnicity,Non-Hispanic White
2949,Connecticut,Percent of adults aged 18 years and older who have obesity,31.0,Race/Ethnicity,American Indian/Alaska Native
2950,Nebraska,Percent of adults who report consuming fruit less than one time daily,41.3,Age (years),35 - 44
2951,Louisiana,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),43.6,Education,Some college or technical school
2952,Rhode Island,Percent of adults who engage in no leisure-time physical activity,16.5,Age (years),18 - 24
2953,Oregon,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,18.5,Age (years),45 - 54
2954,North Dakota,Percent of adults aged 18 years and older who have an overweight classification,39.6,Income,"$50,000 - $74,999"
2955,Nebraska,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),48.2,Income,"$50,000 - $74,999"
2956,Rhode Island,Percent of adults who engage in no leisure-time physical activity,22.8,Income,"$50,000 - $74,999"
2957,Maryland,Percent of adults aged 18 years and older who have an overweight classification,30.7,Income,"$15,000 - $24,999"
2958,Illinois,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),53.9,Race/Ethnicity,Non-Hispanic White
2959,West Virginia,Percent of adults aged 18 years and older who have obesity,40.7,Education,High school graduate
2960,Mississippi,Percent of adults aged 18 years and older who have obesity,19.9,Age (years),18 - 24
2961,Kentucky,Percent of adults who engage in no leisure-time physical activity,34.4,Race/Ethnicity,Non-Hispanic Black
2962,Colorado,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),50.7,Education,High school graduate
2963,Colorado,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),59.4,Age (years),35 - 44
2964,Georgia,Percent of adults aged 18 years and older who have an overweight classification,31.3,Race/Ethnicity,Non-Hispanic Black
2965,California,Percent of adults aged 18 years and older who have obesity,30.8,Income,"Less than $15,000"
2966,Indiana,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,19.2,Education,Less than high school
2967,North Dakota,Percent of adults who report consuming vegetables less than one time daily,21.4,Race/Ethnicity,Asian
2968,Virginia,Percent of adults who report consuming fruit less than one time daily,37.4,Age (years),35 - 44
2969,Michigan,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,19.0,Age (years),55 - 64
2970,Florida,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,23.8,Age (years),55 - 64
2971,California,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),48.0,Age (years),65 or older
2972,Arkansas,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,31.4,Age (years),35 - 44
2973,Alaska,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,34.1,Total,Total
2974,Montana,Percent of adults who report consuming vegetables less than one time daily,14.9,Age (years),55 - 64
2975,Pennsylvania,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),15.3,Race/Ethnicity,Asian
2976,Wisconsin,Percent of adults aged 18 years and older who have an overweight classification,37.0,Income,"$25,000 - $34,999"
2977,Delaware,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,30.9,Race/Ethnicity,Hawaiian/Pacific Islander
2978,Louisiana,Percent of adults aged 18 years and older who have obesity,31.0,Race/Ethnicity,Asian
2979,Washington,Percent of adults who engage in no leisure-time physical activity,25.5,Education,High school graduate
2980,Puerto Rico,Percent of adults who report consuming vegetables less than one time daily,32.2,Income,"$35,000 - $49,999"
2981,Pennsylvania,Percent of adults aged 18 years and older who have an overweight classification,33.5,Race/Ethnicity,Hispanic
2982,Alabama,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,16.1,Race/Ethnicity,Non-Hispanic White
2983,South Dakota,Percent of adults aged 18 years and older who have obesity,15.0,Age (years),18 - 24
2984,Virginia,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,24.8,Race/Ethnicity,2 or more races
2985,Georgia,Percent of adults who engage in no leisure-time physical activity,9.9,Income,"$75,000 or greater"
2986,Tennessee,Percent of adults aged 18 years and older who have obesity,38.5,Age (years),35 - 44
2987,Arkansas,Percent of adults who engage in no leisure-time physical activity,28.6,Income,"$35,000 - $49,999"
2988,Pennsylvania,Percent of adults who engage in no leisure-time physical activity,34.7,Age (years),65 or older
2989,Kansas,Percent of adults aged 18 years and older who have obesity,32.9,Age (years),35 - 44
2990,Minnesota,Percent of adults aged 18 years and older who have obesity,24.1,Age (years),25 - 34
2991,Vermont,Percent of adults who engage in no leisure-time physical activity,18.2,Age (years),35 - 44
2992,Kansas,Percent of adults aged 18 years and older who have obesity,26.3,Age (years),65 or older
2993,Virginia,Percent of adults aged 18 years and older who have an overweight classification,29.4,Income,"$35,000 - $49,999"
2994,Kentucky,Percent of adults aged 18 years and older who have an overweight classification,30.3,Education,Some college or technical school
2995,Arizona,Percent of adults aged 18 years and older who have an overweight classification,38.0,Education,Less than high school
